"","title","genderCoded"
"469","In Memoriam A Tribute to the Life and Legacy of Professor Jack P. Holman","male"
"470","In Memoriam Attila Kuba (1953-2006)","male"
"471","In Memoriam Pieter Willem Leenhouts (1926-2004)","male"
"472","In Memoriam, Isidore Dyen, 1913-2008","male"
"473","In Memoriam: Ashley Morris (1963-2008)","male"
"474","In Memoriam: Dewey K. Ziegler, MD (1920-2012) OBITUARY","male"
"475","In Memoriam: Joseph Michael Foley, MD (1916-2012)","male"
"476","In Memoriam: Philip St. John Smart, 1961-2008","male"
"477","In Memoriam: Rustum Roy","male"
"478","In Memoriam: Shirley Verrett","female"
"479","In Memoriam: Sigmund S. Socransky, DDS","male"
"480","In Memoriam: Summer Smith Taylor (October 29, 1971-February 15, 2011)","female"
"481","In Memoriam: Thomas E. Wainwright September 22, 1927-November 27, 2007","male"
"482","In Memory of Margareta Nicolau 1945-2013","female"
"483","In appreciation - Charles C. Lauritsen: A reasonable man in an unreasonable world","male"
"484","In commemoration of Igor Ivanovich Volkov","male"
"485","In homage to M. Merleau-Ponty, 40 years after his death - Memorial","male"
"486","In honor of Gerhart Eigenberger","male"
"487","In memoriam - A tribute to Aubrey Gorbman","male"
"488","In memoriam - Dr. Otto Hartmann, Austria - 1933-2003","male"
"489","In memoriam - Gunther Hildebrandt","male"
"490","In memoriam - Jo-Ann Rossitto","female"
"491","In memoriam - John S. Laughlin, PhD (1918-2004)","male"
"492","In memoriam - Joseph Ponthot","male"
"493","In memoriam - Margret M. Baltes: 1939-1999","female"
"494","In memoriam - Paul Ricoeur (1913-2005)","male"
"495","In memoriam Attila Mesko (1940-2008)","male"
"496","In memoriam Jean-Louis Bandet (1931-2011)","male"
"497","In memoriam Leonid Nikitovich Barabanov (b. January 22, 1927, d. March 10, 2008)","male"
"498","In memoriam Paul Anderson","male"
"499","In memoriam Prof. em. Dr. Dr. h. c. mult. Hans Merkt","male"
"500","In memoriam Professor Bernard Pertuiset (1920-2000)","male"
"501","In memoriam of JEAN HUARD (1938-1973)","male"
"502","In memoriam. Dr. Ram Verma, cytogeneticist 1946-2000","male"
"503","In memoriam: Allan Pred, 1936-2007 - Editorial board member, cultural geographies, 2000-2007","male"
"504","In memoriam: Benjamin L. Van Duuren (1926-2003) - Obituary","male"
"505","In memoriam: Fernanda Morelati","female"
"506","In memoriam: Frederic Louis Lizzi (1942-2005)","male"
"507","In memoriam: George Alex Mills","male"
"508","In memoriam: James L. Gulledge, 1932-2001","male"
"509","In memoriam: John T. Reeves (1928-2004)","male"
"510","In memoriam: Lawrence Gideon Raisz, 13 November 1925-25 August 2010","male"
"511","In memoriam: Lez Fairbairn, 1959-2005","male"
"512","In memoriam: Liviu Librescu","male"
"513","In memoriam: Margaret Byrd Rawson - June 30, 1899-November 25, 2001","female"
"514","In memoriam: Michael Patrick O'Connor","male"
"515","In memoriam: Professor Barry Firkin (1930-2001) - Orbituary","male"
"516","In memoriam: Professor Nambury Raju","male"
"517","In memoriam: Professor Robert G. Wetzel","male"
"518","In memoriam: Vytautas Statuleviius (1929-2003)","male"
"519","In memoriam: Walter Isard (1919-2010)","male"
"520","In memoriam: William H. Rehnquist","male"
"521","In memory of Alexei Borisovich Kaidalov","male"
"522","In memory of Antonio Grieco (1931-2003)","male"
"523","In memory of Bernie Zilbergeld - 1939-2002","male"
"524","In memory of Danko Brncic, a friend","male"
"525","In memory of Dr Hilton Kort: IVF pioneer, inspired scientist and physician OBITUARY","male"
"526","In memory of Erhardt Guttgemanns (6.3.1935-15.1.2008)","male"
"527","In memory of Joseph Wetherill Eschbach","male"
"528","In memory of Juraj Pacl","male"
"529","In memory of Robert Gordon Babb II Memorial","male"
"530","In memory of Wang Xiaotang (1918-2000)","female"
"531","In memory of my teacher (the 100th birthday anniversary of M. A. Yasinovsky)","male"
"532","In-memoriam - Gerald D. Nash","male"
"533","In-memoriam Leonard R. Riforgiato (1939-1999)","male"
"534","Indian bags Ernesto Illy Trieste Science Prize","male"
"535","Introduction to awarding the von Sallmann prize to Eliot Berson","male"
"536","Introduction: An International Workshop in Honor of Regents' Professor John Maxwell Cowley on the Occasion of his 80th Birthday","male"
"537","Introduction: Kore-eda Hirokazu, Director at a Crossroads","male"
"538","Involvement of Professor Tadeusz Orlowski in the development of artificial organs in Poland","male"
"539","Irine Fokine (1922-2010) DEATH","female"
"540","Ivan Karp 1926-2012","male"
"541","Ivars Kalvinsh's 60th anniversary","male"
"542","J. Alston Branscomb OBITUARY","male"
"543","J. C. Harrington Medal in historical archaeology - James Edward Ayres 2008","male"
"544","JACQUES D'HONDT (1920-2012) philosopher had works published","male"
"545","JAMES L. RICE, 1938-2011 IN MEMORIAM","male"
"546","JAN BAZANT NEDOLUHA (1914-2012) OBITUARY","male"
"547","JANET MARION MARTIN IN MEMORIUM","female"
"548","JAVIER CHAVELAS POLITO (3 December 1940-7 February 2011) IN MEMORIAM","male"
"549","JEAN GLENISSON (1921-2010)","male"
"550","JOAN VALENTINE RECEIVES SEABORG MEDAL","female"
"551","JOHN RUSSELL TWISS, JR. (1938-2009)","male"
"552","JOSE IGNACIO ABELLO TRUJILLO - THE PERSUASION FOR THE FRENCH PHILOLOGY (1943-2010) - IN MEMORIAM Professor has works published","male"
"553","JW CRAWFORD MD DPH","none"
"554","Jack Oliver (1923-2011) OBITUARY","male"
"555","Jacob L. Moreno and sociometry: A mid-century reminiscence","male"
"556","Jacob Mackinnon - Obituary","male"
"557","Jacob Maree du Toit","male"
"558","James H Nicoll, MB, CM Glasg, FRFPS Glasg. Legion of Honour France, Father of Day Surgery","male"
"559","James Reed Holton 1938-2004 - Obituary","male"
"560","James Starbuck - Obituary","male"
"561","James Tobin","male"
"562","James Tyler (3 August 1940-23 November 2010) Obituary","male"
"563","James Willis The importance of everything else","male"
"564","Jan M. Crichton: An appreciation - In memoriam","female"
"565","Jane Sherman (1908-2010) DEATH","female"
"566","Japan Academy Prize to: Shun-ichiro Karato - Professor, Department of Geology and Geophysics, University of Minnesota, USA - for ""rheology of mantle minerals and its relevance to the evolution of the oceanic lithosphere""","male"
"567","Japan academy prize to.: Yukio Hori and Koji Kato","male"
"568","Jean Fournier","male"
"569","Jean-Jacques Pichon - 1954-2003 - Obituary","male"
"570","Jeanne Allen Smith - Obituary","female"
"571","Jeffery Raymond Ede, C.B., FRHist.S (1918-2006) - Obituary","male"
"572","Jeffrey Halili","male"
"573","Jerry Sik-Vung Ting - Obituary","male"
"574","Jiri V. Outrata, sailing analyst, becomes sixty","male"
"575","Joanne Marsden-Blackwell - In-memoriam","female"
"576","Jochen Sachse - In memory of","male"
"577","Johann Christian August Heinroth (1773-1843): The First Professor of Psychiatry as a Psychotherapist","male"
"578","John A. Pople (1925-2004) - Remembrance","male"
"579","John Alexander Tulloch Obituary","male"
"580","John Anthony Morgan Obituary","male"
"581","John Atherton Young - Obituary","male"
"582","John B. Otto OBITUARY","male"
"583","John Betts Obituary","male"
"584","John Biaglow 1937-2007 - In memoriam","male"
"585","John C. Avise - Recipient of 2006 molecular ecology prize","male"
"586","John C. Quiggin - 2004 AARES Distinguished Fellow","male"
"587","John Cade and the discovery of lithium treatment for manic depressive illness","male"
"588","John Cassavetes: A filmmaker under the influence","male"
"589","John D. Stewart, MD (1903-1983), a Grandfather of Transplants","male"
"590","John Darwall (1796-1833) and ""Diseases of workers""","male"
"591","John Dewey, radical philosopher","male"
"592","John Douglas (Jack) Amstrong - Death","male"
"593","John Frederick Reading 1927-2009 Obituary","male"
"594","John H. Marburger III OBITUARY","male"
"595","John Maddox (1925-2009) RETROSPECTIVE","male"
"596","John Niederhuber: Thinking like a director","male"
"597","John Paton Erskine - Obituary","male"
"598","John Pemberton Obituary","male"
"599","John Popert OBITUARY","male"
"600","John Robinson Pierce","male"
"601","John Russell Wood historian had works published","male"
"602","John S. Coppage - Obituary","male"
"603","John Wedgwood - Obituary","male"
"604","Jorge Anhalzer, 1935-1998 - Obituary","male"
"605","Jorge Camacho (1934-2011) artist has works published","male"
"606","Jose Goyanes Capdevila, unsung pioneer of vascular surgery - Historical note","male"
"607","Jose Juan Arrom (1910-2007)","male"
"608","Jose Manuel Esteve scientist had works published","male"
"609","Jose Maria Neves (August 20, 1943-November 27, 2002)","male"
"610","Joseph Gerald (Joe) Capewell, 1917-2005 - Obituary","male"
"611","Joseph Lau: mastering the meta-analysis Profile","male"
"612","Joseph Periam Danton (1908-2002)","male"
"613","Joseph Schembri Wismayer OBITUARY","male"
"614","Joseph-Eugene Claustre, 1932-2008 IN MEMORIUM","male"
"615","Judd Marmor - Psychiatrist who changed the view of homosexuality as a mental disorder","male"
"616","Jules Froment (1878-1946)","male"
"617","Juliana Littbrand-Denekamp - Obituary","female"
"618","Julius Erich Wess","male"
"619","Julius Rudel","male"
"620","Jurgen Rohe - In-memoriam","male"
"621","Jurgen Stock 1923-2004 - Obituary","male"
"622","KIM GORDON","female"
"623","Karen J. Carlson Muyskens - Obituary","female"
"624","Kari Sajavaara - In memoriam","male"
"625","Karl Donath 1935-2010 IN MEMORIAM","male"
"626","Kazimierz Zielinski (1929-2004)","male"
"627","Keith McDonald Grant - Obituary","male"
"628","Kenneth Alan Johnson","male"
"629","Kenneth Crossley McWalter - Obituary","male"
"630","Kenzo Tange - Obituary","male"
"631","Kiril Popovski (1943-2010) Obituary","male"
"632","Kisho Kurokawa, projects in architecture","male"
"633","Klaus Dieter Seemann (1932-2000) - In memoriam","male"
"634","Kleitman and combinatorics: A celebration","male"
"635","Knowledge that ""rubbed off"" - Wendell E. Dodge 1929-2003","male"
"636","Krishna G. Sachdev - Obituary","male"
"637","Kristina Lindell (1928-2005) - In memoriam","female"
"638","Kurt Amplatz - Gold Medal winner","male"
"639","Kurt H. Wolff: A brief biography","male"
"640","L.I. Ivanov is 80 years old!","male"
"641","LEO BREIMAN","male"
"642","LESLIE J. MEHRHOFF 1950-2010 IN MEMORIAM","male"
"643","Lakosina Nadezhda Dmitriyevna. To her 80th birthday anniversary","female"
"644","Larry A. Haskin (1934-2005) - In memorium","male"
"645","Laszlo Ruzsanyi (1937-2003)","male"
"646","Laudatio for Prof Dr Manfred Anke","male"
"647","Laudation in honour of Professsor Dr.-Ing. Klaus Wunnenberg on the occasion of his 65(th) birthday","male"
"648","Laura M. Mackner - Edwin B. Newman graduate research award","female"
"649","Laurence Moss as Exceptional Professor","male"
"650","Lauriston Taylor - Obituary","male"
"651","Lawrence Que Jr - Alfred Bader award in bioinorganic or bioorganic chemistry","male"
"652","Lectures on Islamic history and culture in memory of C.H. Becker","male"
"653","Lemelson-MIT prize to inventor Leroy Hood","male"
"654","Lenar Timofeevich Bugaenko (1930-2005) - Obituary","male"
"655","Lennart Eberson","male"
"656","Leonid Ivanovich Korochkin (April 16, 1935-August 19, 2006)","male"
"657","Leonid Veniaminovich Keldysh (on his seventieth birthday)","male"
"658","Leroy P. Hall OBITUARY","male"
"659","Leslie Alan Shepard (1917-2004)","male"
"660","Leszek Ceremuzynski: A giant of Polish cardiology (1932-2009)","male"
"661","Levin of the Levin nasogastric tube - Abraham Louis Levin","male"
"662","Lewsbe G Abbott Oam - Obituary","male"
"663","Livingstone Biddle - Obituary","male"
"664","Llewelyn Ralph Twentyman: 6 June 1914-29 April 2010 OBITUARY","male"
"665","Lorenzo Guirao, 1957-2009 IN MEMORIAM","male"
"666","Lothar Cossel 13/12/1924-20/03/2010 scientist had works published","male"
"667","Louis Ribbink - In memoriam","male"
"668","Louis Zukofksy: An introduction","male"
"669","Lubomir Natr 12th January 1934-7th July 2013","male"
"670","Ludger Rensing (1932-2013) OBITUARY","male"
"671","Ludwig Karl Ratschiller (1921-2004) - Memorial","male"
"672","Luigi Amaducci: A dedication","male"
"673","Luigi Guglielmo Moncada (1614-1672)","male"
"674","Luigi Ottolini - In-memoriam","male"
"675","Luis Krus (1954-2005). In memoriam","male"
"676","M. Rosalind Pierson (1941-2005)","female"
"677","MARILYN FRENCH (1929-2009) OBITUARY","female"
"678","MATEJA SIRK FILI - IN MEMORIAM","none"
"679","MICHAEL A. MAYO (1944-2008) OBITUARY","male"
"680","MIRKA FUGAS (1922.-2012.) IN MEMORIAM","female"
"681","Magma generation and evolution in the Earth - Foreword","none"
"682","Making a Love Poem' concrete - A tribute to James Laughlin","male"
"683","Malcolm Alexander Ramsay (1949-2000)","male"
"684","Manga Bekombo Priso (1932-2004)","male"
"685","Mantombazana Tshabalala-Msimang: South Africa's controversial health minister","female"
"686","Marcel Bruell OBITUARY","male"
"687","Margaret Tracey: School administrator","female"
"688","Marie-Jeanne (1920-2007) - Death","female"
"689","Mario Hamilton","male"
"690","Marius Chemla (1927-2005)","male"
"691","Marius Chemla (1927-2005) - Foreword","male"
"692","Mark Swerdlow - An innovator in the treatment of pain - Obituary","male"
"693","Mark W. Dewhirst, DVM, PhD, FASTRO, FAAAS Tribute","male"
"694","Martin Lawrence - Appreciation","male"
"695","Martin Wachs 2010 Thomas B. Deen Distinguished Lecturer","male"
"696","Mary Day (1910-2006) - Death","female"
"697","Mary Kathleen Marchant - Obituary","female"
"698","Mary Tew Douglas (1921-2007) - Obituary","female"
"699","Mary-Claire King: taking genes beyond the lab","female"
"700","Matthew Schoffeleers (1928-2011) In Memoriam","male"
"701","Maureen Morton - Obituary","female"
"702","Maurice Allais","male"
"703","Maurice Merleau-Ponty and the ""Embodied Subjectivity"" (1908-61)","male"
"704","Medal of merit","none"
"705","Meeting places of women in Madrid of the 19th century","none"
"706","Melvin Calvin (1911-1997) - In-Memoriam","male"
"707","Melvin D. Yahr (1917-2004): A life dedicated to Parkinson's disease and neurology","male"
"708","Memorable medical mentors: X. Richard Wesley TeLinde (1894-1989)","male"
"709","Memorial - Roman Hlatky, MD","male"
"710","Memorial of Werner Schreyer, 1930-2006","male"
"711","Memorial of Wulf U. Mueller May 27th, 1953-May 16th, 2010 Obituary","male"
"712","Memories of Clifford Truesdell","male"
"713","Memories of Maurice Line: 2","male"
"714","Merrick Edward Peltier Abrahams 12 August 1936-8 March 2010 OBITUARY","male"
"715","Merton H. Miller","male"
"716","Metals, microbes, grace and glamour - A tribute to Dr Sheelagh Campbell","female"
"717","Micah Jones - Jazz bassist","male"
"718","Michael Anderson Roberts Jr - 1947-2004 - Obituary","male"
"719","Michael Dudley Sturge - Obituary","male"
"720","Michael Maschler: My lost migration compass","male"
"721","Michael Zimmermann (1951-2007)","male"
"722","Michelle Peluso","female"
"723","Mikhail Evgen'evich Vinogradov (on the occasion of his 80th birthday)","male"
"724","Mikhail M. Lavrentiev - Obituary","male"
"725","Milton Friedman, 1912-2006: Some personal reflections","male"
"726","Mohammed Hussain Al Saadi (""Abu Alaa"") - Obituary","male"
"727","Monarch's Brushes Musicians valued Ed Thigpen's remarkable taste, class","male"
"728","Monique Beudert","female"
"729","Moore honored as Legacy Laureate from University of Pittsburgh","female"
"730","Mr A.C.L. Brown","none"
"731","Mr C. G. Farmer","male"
"732","Mr C. Noble","male"
"733","Mr I. C. Ross - Obituary","male"
"734","Mr William ('Bill') Hendry (1938-2012) Obituary","male"
"735","My friend Abe Goldstein","male"
"736","N Ricordo - Obituary","male"
"737","N. S. Kislyak - the 80-th anniversary of birth","none"
"738","NICHOLAS MAW, 1935-2009","male"
"739","NIGEL WILLIAMS OBITUARY","male"
"740","Nachruf Dr. med. Gisela Jahn","female"
"741","Nadezhda Borisovna Bolotina (On the occasion of her 60th birthday)","female"
"742","Nancy Caroline - from Mobile Intensive Care to Hospice - The resuscitation greats","female"
"743","Nelson Polsby","male"
"744","Network solutions","none"
"745","Nicholas John Mills DEATH","male"
"746","Nigel Hudlestone (1915-2006) - Obituary","male"
"747","Nikolai Alekseevich Chernoplekov (on his seventieth birthday)","male"
"748","Nina Petrovna Solntseva (1935-2004) - In memoriam","female"
"749","Ninian Smart, 1927-2001 - In-Memoriam","male"
"750","Noel T. Keen Award for Research in Molecular Plant Pathology - Pierre J. G. M. de Wit","male"
"751","Norman Bethune, eccentric, man of principle, man of action, surgeon, and his contribution to blood transfusion in war","male"
"752","Norman Chandler DEATH","male"
"753","Norman Garmezy (1918-2009) OBITUARY","male"
"754","Norman Kreitman, July 5, 1927-December 15, 2012 Obituary","male"
"755","ON MARY DALY","female"
"756","OPINION BILL MILLER HAD A GREAT RUN. BUT DID HIS INVESTORS?","male"
"757","Obituary - Arthur V. Haynes","male"
"758","Obituary - Herbert Miller","male"
"759","Obituary - James Wardrop Telford","male"
"760","Obituary - Larry Zox","male"
"761","Obituary - Pirkko Santavuori 1933-2004","female"
"762","Obituary Dr Adam Sutton 15 June 1950-6 September 2010","male"
"763","Obituary Dr. rer nat. h. c. Kurt Burger 1927-2008","male"
"764","Obituary Jean Stonebridge","female"
"765","Obituary WERNER H. VEITH (28.08.1940-30.03.2009)","male"
"766","Obituary for Carol T. Mowbray, Ph.D.","female"
"767","Obituary for Charles Broyden","male"
"768","Obituary for Prof. Dr. Ludwig Waechter (3.12.1922-22.4.2010)","male"
"769","Obituary for Prof. Dr. med. Dr. rer. nat. Paul Walter Hartl","male"
"770","Obituary for Professor Gordon S. A. B. Stewart","male"
"771","Obituary for Richard D. Altick","male"
"772","Obituary of Christopher Kevin Boyle","male"
"773","Obituary of Prof. Avraham Oplatka","male"
"774","Obituary of Prof. Helmut Riemann Radiologist has no works published","male"
"775","Obituary of Professor Janusz Roman Klepaczko","male"
"776","Obituary of William Alfred Read (1928-2004)","male"
"777","Obituary to Prof. Dr. Brigitte Dragosics","female"
"778","Obituary: Donald Michle","male"
"779","Obituary: Dr Leon Anthony Fennessy (1930-2013)","male"
"780","Obituary: Peter Widdowson, 1942-2009","male"
"781","Obituary: Robin McKenzie 1931-2013","male"
"782","Obituary: Rosalind Hauk Kornfeld (1935-2007)","female"
"783","Obituary: Ted A Kantyka (1920-2006)","male"
"784","Obituary: The Death of the pH Probe","none"
"785","Obituary: Vladislav V. Lemanov (1932-2012)","male"
"786","Of Moretian Fortune: Studies on the theatre of Agustin Moreto writer has works published","male"
"787","Olga Lepeshinskaya Obituary","male"
"788","Oliver Holmes - Obituary","male"
"789","On Rafael Dudziak's 65th birthday","male"
"790","On the 100th birthday of Ernst Jeckeln","male"
"791","On the 75th Birthday of Professor Evgenii Aleksandrovich Grebenikov","male"
"792","On the 80th birthday Friedrich Wilhelm Ahnefeld","male"
"793","On the award of TMS Honorary Membership, 17 November 2010 to Dr James Riding","male"
"794","On the centennial anniversary of the birth of gasan alirza ogly aliev","male"
"795","On the death of Prof. Dr. Klaus Dammrich","male"
"796","On the mathematical work of Jean Schmets","male"
"797","On the occasion of the 100(th) birthday of Academician EUGEN TOPOLNIK Editor-in-Chief of the Veterinarski arhiv from 1953 to 1975","male"
"798","On the rise - Michelle Dorrance","female"
"799","On the seventieth birthday of Oleg Aleksandrovich Petrii","male"
"800","On the western periphery of the Plains, for 50 +/- years - David A. Breternitz","male"
"801","Order of culture medal to K. Nakanishi","male"
"802","Oscar Davis Ratnoff - Obituary","male"
"803","Oscar Gershanik: putting Argentina on the world neurology map","male"
"804","Oskar Minkowski (1858-1931)","male"
"805","Oswald Hanfling (1927-2005)","male"
"806","Otakar Cervinka, jubilee","male"
"807","Otfrid Foerster (1873-1941): German neurologist, neurosurgeon and system physiologist","male"
"808","Otto Wilhelm Madelung scientist had works published","male"
"809","Our Honorary Member Prof. em. Dr. habil agr. Gerhard Reuter's 90th Birthday He is a professor of soil science, published several works","male"
"810","Our New President-Loren A. Laine, MD","male"
"811","Our poet of public health has left the stage: In Memoriam","female"
"812","Owen Chamberlain - Obituary","male"
"813","PAUL PELLIOT, ENUMERATOR AND POLEMICIST, BY M. JEAN-PIERRE DREGE","male"
"814","PERIPHERAL NERVE DISORDERS AND TREATMENT STRATEGIES ACCORDING TO AVICENNA IN HIS MEDICAL TREATISE, CANON OF MEDICINE","none"
"815","PHILIP JOHN ERIC LANG Obituary","male"
"816","POLISH SCIENTIST AFTER THE WORLD WAR II, PROF. DR ENG. STANISLAW ZAGRODZKI (1906-1980)","male"
"817","POPOV,PETR,PETROVICH 1888-1964 - CENTENARY BIOGRAPHICAL NOTE","male"
"818","PRESENTATION OF THE 2009 CHARLES SCHUCHERT AWARD OF THE PALEONTOLOGICAL SOCIETY TO THOMAS D. OLSZEWSKI","male"
"819","PROF. JOSE LEME LOPES (1904-1990): THE PIONEER OF THE MULTI-AXIAL DIAGNOSIS","male"
"820","PROFILE Arnold Chang","male"
"821","Pan Maoyuan and Chinese higher education - Editor's introduction","male"
"822","Paracelsus and mechanical ventilation","none"
"823","Patricia Zipprodt 1925-1999 - In-Memoriam","female"
"824","Paul A. Ebert, MD OBITUARY","male"
"825","Paul Box OBITUARY","male"
"826","Paul Dudley White (1886-1973)","male"
"827","Paul Robert (1929-2005) - In memoriam","male"
"828","Paul Schleijpen Obituary","male"
"829","Paul Strand (1890-1976)","male"
"830","Paul Tessier (1917-2008)","male"
"831","Pauline Atherton Cochrane: Weaving Value from the Past","female"
"832","Pax Allan Chingawale - Obituary","male"
"833","People of Polish chemistry. Professor Dr. Jerzy Wasilewski","male"
"834","People: 353 ANNE SCHWANEWILMS","female"
"835","People: 392 ALBERTO ZEDDA","male"
"836","Perpetuum mobile: The literary travels of Claude Michel Cluny","male"
"837","Personal reflections on 40 years of research in the chemical senses","male"
"838","Peter Clay Eklund, June 7, 1945-August 16, 2009 Obituary","male"
"839","Peter Edgerly Firchow (1937-2008) in memoriam","male"
"840","Peter Ferry Jones Obituary","male"
"841","Peter Ganz (1920-2006) - Obituary","male"
"842","Peter Ladefoged","male"
"843","Peter Watkins, the dance of life","male"
"844","Petrovsky Arthur Vladimirovich - 75th birthday","male"
"845","Philip C. Anderson, MD (1930-2000)","male"
"846","Philip John Kingston OBITUARY","male"
"847","Philip Johnson - An American icon","male"
"848","Phyllis Louisa Botha - In memoriam","female"
"849","Pierre Potier","male"
"850","Pierre-Gilles de Gennes (1932-2007)","male"
"851","Pieter J.J. van Thiel (1928-2012) Obituary","male"
"852","Pieter Joost Goedhart","male"
"853","Pioneers in cardiology: Hein Wellens, MD","male"
"854","Pleyel-year - Ignaz Joseph Pleyel","male"
"855","Praise and memory of Jose Ibanez Cerda (Obituary)","male"
"856","Preface - Reklaitis 65th birthday special issue","none"
"857","Preface - Special Issue: Biological child and adolescent psychiatry","male"
"858","Prelog Medal and Vits Prize to M. T Reetz","male"
"859","Presentation of the Mineralogical Society of America Award for 2004 to Kevin M. Rosso","male"
"860","Prim. Univ.- Prof. Dr. Josef Stepanik on the occasion of conferment of the honorary membership in the ophthalmological Society in Vienna","male"
"861","Princess Lilian: an exceptional woman","female"
"862","Prof Dr. Jorg Friedrich Vollmar - In memoriam","male"
"863","Prof. Dr Lin Ye, an AvH Friedrich Wilhelm Bessel Award winner","male"
"864","Prof. Dr. Dr. h.c. mult. Friedrich Stelzner","male"
"865","Prof. Dr. Gyorgy Lichtenberger (1944-2009), Budapest, Hungary OBITUARY","male"
"866","Prof. Dr. Hans-Joachim Feickert professor had works published","male"
"867","Prof. Dr. Herman De Pooter: 1937-1995 Obituary","male"
"868","Prof. Dr. Ingeborg Krageloh-Mann on the Occasion of her 60th Birthday, Neuropeadiatrics, has works published","female"
"869","Prof. Dr. Juergen F. Riemann on his 70th birthday has works published","male"
"870","Prof. Dr. Peter Ax OBITUARY","male"
"871","Prof. Dr. Uwe-Frithjof Haustein's 75th Birthday Professor of Dermatology has works published","male"
"872","Prof. Dr. Werner Zeil - Obituary","male"
"873","Prof. Dr.Sc Zbigniew Kowalczyk (1951-2008)","male"
"874","Prof. Greta Pifat-Mrzljak (1939-2009)","female"
"875","Prof. Mario Serio (1937-2010) IN MEMORIAM","male"
"876","Prof. Robert M. Walker, a great scientist, a great man","male"
"877","Prof. Rosalinda Contreras Theurel A Tribute","female"
"878","Prof. Waiter M. Teller (10.10.1928-10.2.1999) - Obituary","none"
"879","Prof. dr. hab. Andrzej Krusztafkiewicz (1947-2010). He was a chemical scientist. Publishes several works.","male"
"880","Prof. dr. ing. MARCELA MUNTEAN is 70","female"
"881","Professor Anders Bjorkman - In memoriam","male"
"882","Professor Bryan F Warren: an appreciation (15 April 1958-28 March 2012) Obituary","male"
"883","Professor Emeritus Phillip Vallentine Tobias (1925-2012)","male"
"884","Professor Ernst R.G. Eckert (1904-2004) - In memoriam","male"
"885","Professor Friedrich Kohler (1924 to 2007)","male"
"886","Professor Geo von Krogh Obituary","male"
"887","Professor Georgi D. Efremov (1932-2011) Obituary","male"
"888","Professor Hans Klaus Breddin (1928-2006): A world-class physician, mentor, and friend - Obituary","male"
"889","Professor Heisuke Hironaka's contribution in promoting mathematical sciences and bringing up talent in new generations","male"
"890","Professor Henryk Wojcikiewicz (1926-2000) - Obituary","male"
"891","Professor Jiri Heller, MD, PhD - Obituary","male"
"892","Professor Meinhart H. Zenk: Keeping the Legacy Alive","male"
"893","Professor Michael Alan Ralph Cooper, BSc, PhD, CEng, FICE, FRICS Obituary","male"
"894","Professor Michal Witanowski","male"
"895","Professor Moshe Gammer (1950-2013)","male"
"896","Professor Otto Richard Gottlieb","male"
"897","Professor Peter Birchenall: The man and the leader - Editorial","male"
"898","Professor Pietro Motta (1942-2002)","male"
"899","Professor Rainer Beckert A Tribute","male"
"900","Professor Ryozo Toei - In memoriam","male"
"901","Professor Sadik Kakac on his 70th birthday","male"
"902","Professor Sir Donald Harrison, MS, MD, PHD, FRCS, FRCOPHTH - Obituary","male"
"903","Professor Terence O'Reilly: An Appreciation","male"
"904","Professor Toshisada Nishida, a pioneer and a leading scientist in primatology IN MEMORIAM","male"
"905","Professor V.N. Filinov In memoriam","male"
"906","Professor Wanda Wyrwicka (1912-2002)","female"
"907","Professor William I. Higuchi: Teacher and scientist","male"
"908","Professor William Robert Horsfall 1908-1998 - Obituary","male"
"909","Professor dr hab. n. med. Jerzy Kuch 1931-2010. He was a doctor cardiologist. He published several works.","male"
"910","Profile - Mitch Javidi - A glogal outlook","male"
"911","Profile Stefan Willich: conductor and cardiologist","male"
"912","Profile of Bonnie L. Bassler","female"
"913","Profile of Edward M. De Robertis","male"
"914","Profile of Isaac M. Held","male"
"915","Profile: Bruce Lahn - Brain man makes waves with claims of recent human evolution","male"
"916","Profiles in toxicology - V.K. Rowe (1914-2004)","male"
"917","Profille - Viktor Schultz: physician in a Russian municipal hospital","male"
"918","Promoting Equity Through Primary Care and Health Services Research: Honoring the Legacy of Dr. Barbara Starfield","male"
"919","RECORD OF LOUIS-JACQUES BATAILLON OP","male"
"920","REMEMBERING ERNEST ""CHICK"" CALLENBACH TRIBUTE","male"
"921","REMEMBERING JOHN MURRA: LETTERS FROM A COLLABORATION","male"
"922","REMEMBERING PAUL ARTHUR (1948-2008)","male"
"923","RETROSPECTIVE Benoit B. Mandelbrot (1924-2010)","male"
"924","RG SOULAGE, 1930-1990 In Memoriam","none"
"925","RJ ALLISON MRCS LRCP","none"
"926","RUSHI LEDERMANN 1916-2009 Obituary","female"
"927","Radhey Shyam Ambasht (1936-2012) Obituary","male"
"928","Ralph ""Buzz"" Adams - Editor's foreword","male"
"929","Ralph Siegel: in memoriam (1958-2011)","male"
"930","Randal H. Wood","male"
"931","Ray-Guede Mertin (1943-2007) - Obituary","male"
"932","Raymond (Bill) Hoffenberg (16 March 1923-22 April 2007)","male"
"933","Raymond Firth (1901-2002) - Obituary","male"
"934","Raymond Hains - Obituary","male"
"935","Regarding a biography of Jean Potocki","male"
"936","Regina Genrikhovna Eimontova - In memoriam","female"
"937","Remembering Dr. Anne E. Fowler editor, Annals of Dyslexia, 1994-1999","female"
"938","Remembering Dr. Monica Caldararu","female"
"939","Remembering Fred Buttel","male"
"940","Remembering Lee McIntosh (1949-2004), a pioneer in the molecular biology of chloroplast and mitochondrion function - Obituary","male"
