"Article_ID","Full_Title","Link_to_Article","Journal","Year","Month","First Author Gender","pubmed_query","pubmed_id","ForeName","LastName"
"Bertges et al. (2003)","Relevance of Carotid Stenosis Progression as a Predictor of Ischemic Neurological Outcomes","http://archinte.jamanetwork.com/article.aspx?articleid=216192","Archives of Internal Medicine","2003","10 - Oct","Male","Bertges 2003 Relevance Carotid Stenosis Progression Predictor Ischemic Neurological Outcomes","14581246.0","Daniel J","Bertges"
"Beshai et al. (2007)","Cardiac-Resynchronization Therapy in Heart Failure with Narrow QRS Complexes","http://www.nejm.org/doi/pdf/10.1056/NEJMoa0706695","NEJM","2007","12 - Dec","Male","Beshai 2007 Cardiac Resynchronization Therapy Heart Failure Narrow Complexes","17986493.0","John F","Beshai"
"Betran et al. (2001)","Ecological study of effect of breast feeding on infant mortality in Latin America","","BMJ","2001","08 - Aug","Female","Betran 2001 Ecological study effect breast feeding infant mortality Latin America","11498485.0","A P","Betrán"
"Bettendorf et al. (2000)","Tri-iodothyronine treatment in children after cardiac surgery: a double-blind| randomised| placebo-controlled study","http://www.thelancet.com/journals/lancet/article/PIIS0140-6736(00)02576-9/abstract","The Lancet","2000","08 - Aug","Male","Bettendorf 2000 iodothyronine treatment children after cardiac surgery double blind randomised placebo controlled study","10950228.0","M","Bettendorf"
"Bhagwanjee et al. (1997)","Does HIV status influence the outcome of patients admitted to a surgical intensive care unit? A prospective double blind study","","BMJ","1997","04 - Apr","Male","Bhagwanjee 1997 status influence outcome patients admitted surgical intensive prospective double blind study","9133887.0","S","Bhagwanjee"
"Bhandari et al. (2002)","Effect of routine zinc supplementation on pneumonia in children aged 6 months to 3 years: randomised controlled trial in an urban slum","","BMJ","2002","06 - Jun","Female","Bhandari 2002 Effect routine supplementation pneumonia children months years randomised controlled trial urban","12052800.0","Nita","Bhandari"
"Bhasin et al. (2000)","Testosterone Replacement and Resistance Exercise in HIV-Infected Men With Weight Loss and Low Testosterone Levels","http://jama.jamanetwork.com/article.aspx?articleid=192378","JAMA","2000","02 - Feb","Male","Bhasin 2000 Testosterone Replacement Resistance Exercise Infected Weight Testosterone Levels","10683055.0","S","Bhasin"
"Bhaskaran et al. (2010)","Short term effects of temperature on risk of myocardial infarction in England and Wales: time series regression analysis of the Myocardial Ischaemia National Audit Project (MINAP) registry","","BMJ","2010","08 - Aug","Male","Bhaskaran 2010 Short effects temperature myocardial infarction England Wales series regression analysis Myocardial Ischaemia National Audit Project MINAP registry","","",""
"Bhatt et al. (2009)","Intravenous Platelet Blockade with Cangrelor during PCI","http://www.nejm.org/doi/pdf/10.1056/NEJMoa0908629","NEJM","2009","12 - Dec","Male","Bhatt 2009 Intravenous Platelet Blockade Cangrelor during","19915222.0","Deepak L","Bhatt"
"Bhatt et al. (2013)","Sequence-Based Discovery of Bradyrhizobium enterica in Cord Colitis Syndrome","http://www.nejm.org/doi/pdf/10.1056/NEJMoa1211115","NEJM","2013","08 - Aug","Female","Bhatt 2013 Sequence Based Discovery Bradyrhizobium enterica Colitis Syndrome","23924002.0","Ami S","Bhatt"
"Bhatt et al. (2014)","A Controlled Trial of Renal Denervation for Resistant Hypertension","http://www.nejm.org/doi/pdf/10.1056/NEJMoa1402670","NEJM","2014","04 - Apr","Male","Bhatt 2014 Controlled Trial Renal Denervation Resistant Hypertension","24678939.0","Deepak L","Bhatt"
"Biagi et al. (2011)","Association Between Time to Initiation of Adjuvant Chemotherapy and Survival in Colorectal Cancer:    A Systematic Review and Meta-analysis","http://jama.jamanetwork.com/article.aspx?articleid=221033","JAMA","2011","06 - Jun","Male","Biagi 2011 Association Between Initiation Adjuvant Chemotherapy Survival Colorectal Cancer Systematic Review analysis","21642686.0","James J","Biagi"
"Bilimoria et al. (2013)","Evaluation of Surveillance Bias and the Validity of the Venous Thromboembolism Quality Measure","http://jama.jamanetwork.com/article.aspx?articleid=1748150","JAMA","2013","10 - Oct","Male","Bilimoria 2013 Evaluation Surveillance Validity Venous Thromboembolism Quality Measure","24100354.0","Karl Y","Bilimoria"
"Billings et al. (2006)","Case finding for patients at risk of readmission to hospital: development of algorithm to identify high risk patients","","BMJ","2006","08 - Aug","Male","Billings 2006 finding patients readmission hospital development algorithm identify patients","16815882.0","John","Billings"
"Bindman et al. (2008)","Interruptions in Medicaid Coverage and Risk for Hospitalization for Ambulatory Care–Sensitive Conditions","http://annals.org/article.aspx?articleid=744152","Annals of Internal Medicine","2008","12 - Dec","Male","Bindman 2008 Interruptions Medicaid Coverage Hospitalization Ambulatory Care–Sensitive Conditions","19075204.0","Andrew B","Bindman"
"Bingham et al. (1998)","The Medical Journal of Australia internet peer-review study","http://www.thelancet.com/journals/lancet/article/PIIS0140-6736(97)11510-0/abstract","The Lancet","1998","08 - Aug","Male","Bingham 1998 Medical Journal Australia internet review study","9708752.0","C M","Bingham"
"Bingley et al. (2000)","Influence of maternal age at delivery and birth order on risk of type 1 diabetes in childhood: prospective population based family study","","BMJ","2000","08 - Aug","Female","Bingley 2000 Influence maternal delivery birth order diabetes childhood prospective population based family study","10938050.0","P J","Bingley"
"Bini et al. (2006)","Use of Flexible Sigmoidoscopy to Screen for Colorectal Cancer in HIV-Infected Patients 50 Years of Age and Older","http://archinte.jamanetwork.com/article.aspx?articleid=410789","Archives of Internal Medicine","2006","08 - Aug","Male","Bini 2006 Flexible Sigmoidoscopy Screen Colorectal Cancer Infected Patients Years Older","16908796.0","Edmund J","Bini"
"Birkmeyer et al. (2002)","HOSPITAL VOLUME AND SURGICAL MORTALITY IN THE UNITED STATES","http://www.nejm.org/doi/pdf/10.1056/NEJMsa012337","NEJM","2002","04 - Apr","Male","Birkmeyer 2002 HOSPITAL VOLUME SURGICAL MORTALITY UNITED STATES","11948273.0","John D","Birkmeyer"
"Birkmeyer et al. (2013)","Surgical Skill and Complication Rates after Bariatric Surgery","http://www.nejm.org/doi/pdf/10.1056/NEJMsa1300625","NEJM","2013","10 - Oct","Male","Birkmeyer 2013 Surgical Skill Complication Rates after Bariatric Surgery","24106936.0","John D","Birkmeyer"
"Bischoff-Ferrari et al. (2009)","Fall prevention with supplemental and active forms of vitamin D: a meta-analysis of randomised controlled trials","","BMJ","2009","10 - Oct","Female","Bischoff-Ferrari 2009 prevention supplemental active forms vitamin analysis randomised controlled trials","19797342.0","H A","Bischoff-Ferrari"
"Bisgaard et al. (2007)","Childhood Asthma after Bacterial Colonization of the Airway in Neonates","http://www.nejm.org/doi/pdf/10.1056/NEJMoa052632","NEJM","2007","10 - Oct","Male","Bisgaard 2007 Childhood Asthma after Bacterial Colonization Airway Neonates","17928596.0","Hans","Bisgaard"
"Bisgaard et al. (2010)","Association of bacteria and viruses with wheezy episodes in young children: prospective birth cohort study","","BMJ","2010","10 - Oct","Male","Bisgaard 2010 Association bacteria viruses wheezy episodes young children prospective birth cohort study","20921080.0","Hans","Bisgaard"
"Bishoff-Ferrari et al. (2006)","Effect of Cholecalciferol Plus Calcium on Falling in Ambulatory Older Men and Women:   A 3-Year Randomized Controlled Trial","http://archinte.jamanetwork.com/article.aspx?articleid=409852","Archives of Internal Medicine","2006","02 - Feb","Female","Bishoff-Ferrari 2006 Effect Cholecalciferol Calcium Falling Ambulatory Older Women Randomized Controlled Trial","16505262.0","Heike A","Bischoff-Ferrari"
"Bixler et al. (2000)","Association of Hypertension and Sleep-Disordered Breathing","http://archinte.jamanetwork.com/article.aspx?articleid=746671","Archives of Internal Medicine","2000","08 - Aug","Male","Bixler 2000 Association Hypertension Sleep Disordered Breathing","10927725.0","E O","Bixler"
"Bjorck et al. (2010)","Medication in Relation to ST-Segment Elevation Myocardial Infarction in Patients With a First Myocardial Infarction Swedish Register of Information and Knowledge About Swedish Heart Intensive Care Admissions (RIKS-HIA)","http://archinte.jamanetwork.com/article.aspx?articleid=775640","Archives of Internal Medicine","2010","08 - Aug","Female","Bjorck 2010 Medication Relation Segment Elevation Myocardial Infarction Patients First Myocardial Infarction Swedish Register Information Knowledge About Swedish Heart Intensive Admissions","20696964.0","Lena","Björck"
"Blacher et al. (2000)","Pulse Pressure Not Mean Pressure Determines Cardiovascular Risk in Older Hypertensive Patients","http://archinte.jamanetwork.com/article.aspx?articleid=485285","Archives of Internal Medicine","2000","04 - Apr","Male","Blacher 2000 Pulse Pressure Pressure Determines Cardiovascular Older Hypertensive Patients","10789600.0","J","Blacher"
"Black et al. (2000)","Multiple Chemical Sensitivity Syndrome Symptom Prevalence and Risk Factors in a Military Population","http://archinte.jamanetwork.com/article.aspx?articleid=485289","Archives of Internal Medicine","2000","04 - Apr","Male","Black 2000 Multiple Chemical Sensitivity Syndrome Symptom Prevalence Factors Military Population","10789611.0","D W","Black"
"Black et al. (2005)","One Year of Alendronate after One Year of Parathyroid Hormone (1–84) for Osteoporosis","http://www.nejm.org/doi/pdf/10.1056/NEJMoa050336","NEJM","2005","08 - Aug","Male","Black 2005 Alendronate after Parathyroid Hormone Osteoporosis","16093464.0","Dennis M","Black"
"Blais et al. (2000)","3-Hydroxy-3-Methylglutaryl Coenzyme A Reductase Inhibitors and the Risk of Cancer A Nested Case-Control Study","http://archinte.jamanetwork.com/article.aspx?articleid=746697","Archives of Internal Medicine","2000","08 - Aug","Female","Blais 2000 Hydroxy Methylglutaryl Coenzyme Reductase Inhibitors Cancer Nested Control Study","10927735.0","L","Blais"
"Blakely et al. (2000)","The Heart and Estrogen/Progestin Replacement Study Revisited:   Hormone Replacement Therapy Produced Net Harm| Consistent With the Observational Data","http://archinte.jamanetwork.com/article.aspx?articleid=485489","Archives of Internal Medicine","2000","10 - Oct","Male","Blakely 2000 Heart Estrogen Progestin Replacement Study Revisited Hormone Replacement Therapy Produced Consistent Observational","11041895.0","J A","Blakely"
"Blankensteijn et al. (2005)","Two-Year Outcomes after Conventional or Endovascular Repair of Abdominal Aortic Aneurysms","http://www.nejm.org/doi/pdf/10.1056/NEJMoa051255","NEJM","2005","06 - Jun","Male","Blankensteijn 2005 Outcomes after Conventional Endovascular Repair Abdominal Aortic Aneurysms","15944424.0","Jan D","Blankensteijn"
"Blankfield et al. (2000)","Bilateral Leg Edema| Obesity| Pulmonary Hypertension| and Obstructive Sleep Apnea","http://archinte.jamanetwork.com/article.aspx?articleid=746685","Archives of Internal Medicine","2000","08 - Aug","Male","Blankfield 2000 Bilateral Edema Obesity Pulmonary Hypertension Obstructive Sleep Apnea","10927734.0","R P","Blankfield"
"Blasco-Colmenares et al. (2009)","Aspirin Plus Clopidogral and Risk of Infection After Coronary Artery Bypass Surgery","http://archinte.jamanetwork.com/article.aspx?articleid=414916","Archives of Internal Medicine","2009","04 - Apr","Female","Blasco-Colmenares 2009 Aspirin Clopidogral Infection After Coronary Artery Bypass Surgery","","",""
"Ble et al. (2005)","Renal Function| Erythropoietin| and Anemia of Older Persons:   The InCHIANTI Study","http://archinte.jamanetwork.com/article.aspx?articleid=486750","Archives of Internal Medicine","2005","10 - Oct","Male","Ble 2005 Renal Function Erythropoietin Anemia Older Persons InCHIANTI Study","16246987.0","Alessandro","Ble"
"Bleasedale et al. (2007)","Effectiveness of Chlorhexidine Bathing to Reduce Catheter-Associated Bloodstream Infections in Medical Intensive Care Unit Patients FREE","http://archinte.jamanetwork.com/article.aspx?articleid=413356","Archives of Internal Medicine","2007","10 - Oct","Female","Bleasedale 2007 Effectiveness Chlorhexidine Bathing Reduce Catheter Associated Bloodstream Infections Medical Intensive Patients","","",""
"Blencowe et al. (2012)","National| regional| and worldwide estimates of preterm birth rates in the year 2010 with time trends since 1990 for selected countries: a systematic analysis and implications","http://www.thelancet.com/journals/lancet/article/PIIS0140-6736(12)60820-4/abstract","The Lancet","2012","06 - Jun","Female","Blencowe 2012 National regional worldwide estimates preterm birth rates trends since selected countries systematic analysis implications","22682464.0","Hannah","Blencowe"
"Blendon et al. (2002)","Views of Practicing Physicians and the Public on Medical Errors","http://www.nejm.org/doi/full/10.1056/NEJMsa022151","NEJM","2002","12 - Dec","Male","Blendon 2002 Views Practicing Physicians Public Medical Errors","12477944.0","Robert J","Blendon"
"Bliss et al. (1998)","Acquisition of Clostridium difficile and Clostridium difficile-Associated Diarrhea in Hospitalized Patients Receiving Tube Feeding","http://annals.org/article.aspx?articleid=712389","Annals of Internal Medicine","1998","12 - Dec","Female","Bliss 1998 Acquisition Clostridium difficile Clostridium difficile Associated Diarrhea Hospitalized Patients Receiving Feeding","9867755.0","D Z","Bliss"
"Block et al. (2004)","Cinacalcet for Secondary Hyperparathyroidism in Patients Receiving Hemodialysis","http://www.nejm.org/doi/pdf/10.1056/NEJMoa031633","NEJM","2004","04 - Apr","Male","Block 2004 Cinacalcet Secondary Hyperparathyroidism Patients Receiving Hemodialysis","15071126.0","Geoffrey A","Block"
"Blom et al. (2005)","Malignancies| Prothrombotic Mutations| and the Risk of Venous Thrombosis","http://jama.jamanetwork.com/article.aspx?articleid=200333","JAMA","2005","02 - Feb","Female","Blom 2005 Malignancies Prothrombotic Mutations Venous Thrombosis","15701913.0","Jeanet W","Blom"
"Blood Pressure Lowering Treatment Trialists Collaboaration (2000)","Effects of ACE inhibitors| calcium antagonists| and other blood-pressure-lowering drugs: results of prospectively designed overviews of randomised trials","http://www.thelancet.com/journals/lancet/article/PIIS0140-6736(00)03307-9/abstract","The Lancet","2000","12 - Dec","Male","2000 Effects inhibitors calcium antagonists other blood pressure lowering drugs results prospectively designed overviews randomised trials","11130523.0","B","Neal"
"Blood Pressure Lowering Treatment Trialists' Collaboration (2005)","Effects of Different Blood Pressure–Lowering Regimens on Major Cardiovascular Events in Individuals With and Without Diabetes Mellitus:   Results of Prospectively Designed Overviews of Randomized Trials","http://archinte.jamanetwork.com/article.aspx?articleid=486624","Archives of Internal Medicine","2005","06 - Jun","Female","2005 Effects Different Blood Pressure–Lowering Regimens Major Cardiovascular Events Individuals Without Diabetes Mellitus Results Prospectively Designed Overviews Randomized Trials","15983291.0","Fiona","Turnbull"
"Bloss et al. (2011)","Effect of Direct-to-Consumer Genomewide Profiling to Assess Disease Risk","http://www.nejm.org/doi/pdf/10.1056/NEJMoa1011893","NEJM","2011","02 - Feb","Female","Bloss 2011 Effect Direct Consumer Genomewide Profiling Assess Disease","21226570.0","Cinnamon S","Bloss"
"Blot et al. (2002)","Outcome and Attributable Mortality in Critically Ill Patients With Bacteremia Involving Methicillin-Susceptible and Methicillin-Resistant Staphylococcus aureus","http://archinte.jamanetwork.com/article.aspx?articleid=213720","Archives of Internal Medicine","2002","10 - Oct","Male","Blot 2002 Outcome Attributable Mortality Critically Patients Bacteremia Involving Methicillin Susceptible Methicillin Resistant Staphylococcus aureus","12390067.0","Stijn I","Blot"
"Bluemke et al. (2004)","Magnetic Resonance Imaging of the Breast Prior to Biopsy","http://jama.jamanetwork.com/article.aspx?articleid=199950","JAMA","2004","12 - Dec","Male","Bluemke 2004 Magnetic Resonance Imaging Breast Prior Biopsy","15585733.0","David A","Bluemke"
"Blum et al. (1997)","Treatment of Ostial Renal-Artery Stenoses with Vascular Endoprostheses after Unsuccessful Balloon Angioplasty","http://www.nejm.org/doi/full/10.1056/NEJM199702133360702","NEJM","1997","02 - Feb","Male","Blum 1997 Treatment Ostial Renal Artery Stenoses Vascular Endoprostheses after Unsuccessful Balloon Angioplasty","9017938.0","U","Blum"
"Blumenthal et al. (1997)","Stress Management and Exercise Training in Cardiac Patients With Myocardial Ischemia:   Effects on Prognosis and Evaluation of Mechanisms","http://archinte.jamanetwork.com/article.aspx?articleid=623936","Archives of Internal Medicine","1997","10 - Oct","Male","Blumenthal 1997 Stress Management Exercise Training Cardiac Patients Myocardial Ischemia Effects Prognosis Evaluation Mechanisms","9342998.0","J A","Blumenthal"
"Blumenthal et al. (1999)","Effects of Exercise Training on Older Patients With Major Depression","http://archinte.jamanetwork.com/article.aspx?articleid=485159","Archives of Internal Medicine","1999","10 - Oct","Male","Blumenthal 1999 Effects Exercise Training Older Patients Major Depression","10547175.0","J A","Blumenthal"
"Boccalon et al. (2000)","Clinical Outcome and Cost of Hospital vs Home Treatment of Proximal Deep Vein Thrombosis With a Low-Molecular-Weight Heparin:   The Vascular Midi-Pyrenees Study","http://archinte.jamanetwork.com/article.aspx?articleid=485363","Archives of Internal Medicine","2000","06 - Jun","Male","Boccalon 2000 Clinical Outcome Hospital Treatment Proximal Thrombosis Molecular Weight Heparin Vascular Pyrenees Study","10871969.0","H","Boccalon"
"Boden et al. (2007)","Optimal Medical Therapy with or without PCI for Stable Coronary Disease","http://www.nejm.org/doi/pdf/10.1056/NEJMoa070829","NEJM","2007","04 - Apr","Male","Boden 2007 Optimal Medical Therapy without Stable Coronary Disease","17387127.0","William E","Boden"
"Boer et al. (1998)","Cost effectiveness of shortening screening interval or extending age range of NHS breast screening programme: computer simulation study","","BMJ","1998","08 - Aug","Male","Boer 1998 effectiveness shortening screening interval extending range breast screening programme computer simulation study","9694752.0","R","Boer"
"Boer et al. (2009)","Micrometastases or Isolated Tumor Cells and the Outcome of Breast Cancer","http://www.nejm.org/doi/pdf/10.1056/NEJMoa0904832","NEJM","2009","08 - Aug","Female","Boer 2009 Micrometastases Isolated Tumor Cells Outcome Breast Cancer","19675329.0","Maaike","de Boer"
"Boersma et al. (2001)","Predictors of Cardiac Events After Major Vascular Surgery Role of Clinical Characteristics| Dobutamine Echocardiography| and ?-Blocker Therapy","http://jama.jamanetwork.com/article.aspx?articleid=193731","JAMA","2001","04 - Apr","Male","Boersma 2001 Predictors Cardiac Events After Major Vascular Surgery Clinical Characteristics Dobutamine Echocardiography Blocker Therapy","11308400.0","E","Boersma"
"Boggild et al. (2009)","Multiple sclerosis risk sharing scheme: two year results of clinical cohort study with historical comparator","","BMJ","2009","12 - Dec","Male","Boggild 2009 Multiple sclerosis sharing scheme results clinical cohort study historical comparator","19955128.0","Mike","Boggild"
"Bogt et al. (2011)","Preventing Weight Gain by Lifestyle Intervention in a General Practice Setting:   Three-Year Results of a Randomized Controlled Trial","http://archinte.jamanetwork.com/article.aspx?articleid=226662","Archives of Internal Medicine","2011","02 - Feb","Female","Bogt 2011 Preventing Weight Lifestyle Intervention General Practice Setting Three Results Randomized Controlled Trial","21357805.0","Nancy C W","ter Bogt"
"Bojang et al. (2001)","Efficacy of RTS|S/AS02 malaria vaccine against Plasmodium falciparum infection in semi-immune adult men in The Gambia: a randomised trial","http://www.thelancet.com/journals/lancet/article/PIIS0140-6736(01)06957-4/abstract","The Lancet","2001","12 - Dec","Male","Bojang 2001 Efficacy malaria vaccine against Plasmodium falciparum infection immune adult Gambia randomised trial","11747915.0","K A","Bojang"
"Boland et al. (2013)","Comparative Effectiveness of Treatments for Open-Angle Glaucoma: A Systematic Review for the U.S. Preventive Services Task Force","http://annals.org/article.aspx?articleid=1583930","Annals of Internal Medicine","2013","02 - Feb","Male","Boland 2013 Comparative Effectiveness Treatments Angle Glaucoma Systematic Review Preventive Services Force","23420235.0","Michael V","Boland"
"Bolk et al. (2010)","Effects of Evening vs Morning Levothyroxine Intake A Randomized Double-blind Crossover Trial","http://archinte.jamanetwork.com/article.aspx?articleid=776486","Archives of Internal Medicine","2010","12 - Dec","Female","Bolk 2010 Effects Evening Morning Levothyroxine Intake Randomized Double blind Crossover Trial","21149757.0","Nienke","Bolk"
"Bolla et al. (2005)","Postoperative radiotherapy after radical prostatectomy: a randomised controlled trial (EORTC trial 22911)","http://www.thelancet.com/journals/lancet/article/PIIS0140-6736(05)67101-2/abstract","The Lancet","2005","08 - Aug","Male","Bolla 2005 Postoperative radiotherapy after radical prostatectomy randomised controlled trial EORTC trial 22911","16099293.0","Michel","Bolla"
"Bolla et al. (2009)","Duration of Androgen Suppression in the Treatment of Prostate Cancer","http://www.nejm.org/doi/pdf/10.1056/NEJMoa0810095","NEJM","2009","06 - Jun","Male","Bolla 2009 Duration Androgen Suppression Treatment Prostate Cancer","19516032.0","Michel","Bolla"
"Bolla et al. (2012)","Postoperative radiotherapy after radical prostatectomy for high-risk prostate cancer: long-term results of a randomised controlled trial (EORTC trial 22911)","http://www.thelancet.com/journals/lancet/article/PIIS0140-6736(12)61253-7/abstract","The Lancet","2012","12 - Dec","Male","Bolla 2012 Postoperative radiotherapy after radical prostatectomy prostate cancer results randomised controlled trial EORTC trial 22911","23084481.0","Michel","Bolla"
"Bombard et al. (2009)","Perceptions of genetic discrimination among people at risk for Huntington’s disease: a cross sectional survey","","BMJ","2009","06 - Jun","Female","Bombard 2009 Perceptions genetic discrimination among people Huntington’s disease cross sectional survey","19509425.0","Yvonne","Bombard"
"Bonaa et al. (2006)","Homocysteine Lowering and Cardiovascular Events after Acute Myocardial Infarction","http://www.nejm.org/doi/pdf/10.1056/NEJMoa055227","NEJM","2006","04 - Apr","Unknown","Bonaa 2006 Homocysteine Lowering Cardiovascular Events after Acute Myocardial Infarction","16531614.0","Kaare Harald","Bønaa"
"Bonacini et al. (2000)","Hepatitis C in Patients With Human Immunodeficiency Virus Infection Diagnosis| Natural History| Meta-analysis of Sexual and Vertical Transmission| and Therapeutic Issues","http://archinte.jamanetwork.com/article.aspx?articleid=747728","Archives of Internal Medicine","2000","12 - Dec","Male","Bonacini 2000 Hepatitis Patients Human Immunodeficiency Virus Infection Diagnosis Natural History analysis Sexual Vertical Transmission Therapeutic Issues","11112228.0","M","Bonacini"
"Bonadona et al. (2011)","Cancer Risks Associated With Germline Mutations in MLH1| MSH2| and MSH6 Genes in Lynch Syndrome","http://jama.jamanetwork.com/article.aspx?articleid=900645","JAMA","2011","06 - Jun","Female","Bonadona 2011 Cancer Risks Associated Germline Mutations Genes Lynch Syndrome","21642682.0","Valérie","Bonadona"
"Bonithon-Kopp et al. (2000)","Calcium and fibre supplementation in prevention of colorectal adenoma recurrence: a randomised intervention trial","http://www.thelancet.com/journals/lancet/article/PIIS0140-6736(00)02813-0/abstract","The Lancet","2000","10 - Oct","Female","Bonithon-Kopp 2000 Calcium fibre supplementation prevention colorectal adenoma recurrence randomised intervention trial","11073017.0","C","Bonithon-Kopp"
"Bonjour et al. (2001)","Gain in bone mineral mass in prepubertal girls 3—5 years after discontinuation of calcium supplementation: a follow-up study","http://www.thelancet.com/journals/lancet/article/PIIS0140-6736(01)06342-5/abstract","The Lancet","2001","10 - Oct","Male","Bonjour 2001 mineral prepubertal girls years after discontinuation calcium supplementation follow study","11675056.0","J P","Bonjour"
"Bonner et al. (2006)","Radiotherapy plus Cetuximab for Squamous- Cell Carcinoma of the Head and Neck","http://www.nejm.org/doi/pdf/10.1056/NEJMoa053422","NEJM","2006","02 - Feb","Male","Bonner 2006 Radiotherapy Cetuximab Squamous Carcinoma","16467544.0","James A","Bonner"
"Bonnett et al. (2010)","Risk of recurrence after a first seizure and implications for driving: further analysis of the Multicentre study of early Epilepsy and Single Seizures","","BMJ","2010","12 - Dec","Female","Bonnett 2010 recurrence after first seizure implications driving further analysis Multicentre study early Epilepsy Single Seizures","21147743.0","L J","Bonnett"
"Booth et al. (2011)","Assessment of Thiopurine S-Methyltransferase Activity in Patients Prescribed Thiopurines: A Systematic Review","http://annals.org/article.aspx?articleid=746987","Annals of Internal Medicine","2011","06 - Jun","Male","Booth 2011 Assessment Thiopurine Methyltransferase Activity Patients Prescribed Thiopurines Systematic Review","21690596.0","Ronald A","Booth"
"Boppana et al. (2010)","Dried Blood Spot Real-time Polymerase Chain Reaction Assays to Screen Newborns for Congenital Cytomegalovirus Infection","http://jama.jamanetwork.com/article.aspx?articleid=185671","JAMA","2010","04 - Apr","Male","Boppana 2010 Dried Blood Polymerase Chain Reaction Assays Screen Newborns Congenital Cytomegalovirus Infection","20388893.0","Suresh B","Boppana"
"Borch-Johnsen et al. (1998)","Will new diagnostic criteria for diabetes mellitus change phenotype of patients with diabetes? Reanalysis of European epidemiological data","","BMJ","1998","08 - Aug","Male","Borch-Johnsen 1998 diagnostic criteria diabetes mellitus change phenotype patients diabetes Reanalysis European epidemiological","","",""
"Borzecki et al. (2003)","Hypertension Control How Well Are We Doing?","http://archinte.jamanetwork.com/article.aspx?articleid=757424","Archives of Internal Medicine","2003","12 - Dec","Female","Borzecki 2003 Hypertension Control Doing","14662624.0","Ann M","Borzecki"
"Bosse et al. (2002)","AN ANALYSIS OF OUTCOMES OF RECONSTRUCTION OR AMPUTATION  OF LEG-THREATENING INJURIES","http://www.nejm.org/doi/pdf/10.1056/NEJMoa012604","NEJM","2002","12 - Dec","Male","Bosse 2002 ANALYSIS OUTCOMES RECONSTRUCTION AMPUTATION THREATENING INJURIES","12477942.0","Michael J","Bosse"
"Bosshard et al. (2005)","Forgoing Treatment at the End of Life in 6 European Countries","http://archinte.jamanetwork.com/article.aspx?articleid=486424","Archives of Internal Medicine","2005","02 - Feb","Male","Bosshard 2005 Forgoing Treatment European Countries","15738368.0","Georg","Bosshard"
"Bostock et al. (2012)","Association between low functional health literacy and mortality in older adults: longitudinal cohort study","","BMJ","2012","04 - Apr","Female","Bostock 2012 Association between functional health literacy mortality older adults longitudinal cohort study","22422872.0","Sophie","Bostock"
"Botkin et al. (1998)","Privacy and Confidentiality in the Publication of Pedigrees:    A Survey of Investigators and Biomedical Journals","http://jama.jamanetwork.com/article.aspx?articleid=187624","JAMA","1998","06 - Jun","Male","Botkin 1998 Privacy Confidentiality Publication Pedigrees Survey Investigators Biomedical Journals","9628712.0","J R","Botkin"
"Bottieau et al. (2006)","Etiology and Outcome of Fever After a Stay in the Tropics","http://archinte.jamanetwork.com/article.aspx?articleid=410797","Archives of Internal Medicine","2006","08 - Aug","Male","Bottieau 2006 Etiology Outcome Fever After Tropics","16908798.0","Emmanuel","Bottieau"
"Boughey et al. (2013)","Sentinel Lymph Node Surgery After Neoadjuvant Chemotherapy in Patients With Node-Positive Breast Cancer:","http://jama.jamanetwork.com/article.aspx?articleid=1748149","JAMA","2013","10 - Oct","Female","Boughey 2013 Sentinel Lymph Surgery After Neoadjuvant Chemotherapy Patients Positive Breast Cancer","24101169.0","Judy C","Boughey"
"Boulware et al. (2007)","Systematic Review: The Value of the Periodic Health Evaluation","http://annals.org/article.aspx?articleid=733296","Annals of Internal Medicine","2007","02 - Feb","Female","Boulware 2007 Systematic Review Value Periodic Health Evaluation","17310053.0","L Ebony","Boulware"
"Bourgault et al. (2001)","Antihypertensive Drug Therapy in Saskatchewan Patterns of Use and Determinants in Hypertension","http://archinte.jamanetwork.com/article.aspx?articleid=751551","Archives of Internal Medicine","2001","08 - Aug","Female","Bourgault 2001 Antihypertensive Therapy Saskatchewan Patterns Determinants Hypertension","11493129.0","C","Bourgault"
"Bourgeois et al. (2010)","Patients Treated at Multiple Acute Health Care Facilities Quantifying Information Fragmentation","http://archinte.jamanetwork.com/article.aspx?articleid=776461","Archives of Internal Medicine","2010","12 - Dec","Female","Bourgeois 2010 Patients Treated Multiple Acute Health Facilities Quantifying Information Fragmentation","21149756.0","Fabienne C","Bourgeois"
"Boushey et al. (2005)","Daily versus As-Needed Corticosteroids for Mild Persistent Asthma","http://www.nejm.org/doi/pdf/10.1056/NEJMoa042552","NEJM","2005","04 - Apr","Male","Boushey 2005 Daily versus Needed Corticosteroids Persistent Asthma","15829533.0","Homer A","Boushey"
"Bousser et al. (2011)","Terutroban versus aspirin in patients with cerebral ischaemic events (PERFORM): a randomised| double-blind| parallel-group trial","http://www.thelancet.com/journals/lancet/article/PIIS0140-6736(11)60600-4/abstract","The Lancet","2011","06 - Jun","Male","Bousser 2011 Terutroban versus aspirin patients cerebral ischaemic events PERFORM randomised double blind parallel group trial","21616527.0","Marie-Germaine","Bousser"
